Rue;Code Bureau;Bureau de Vote;Nb Électeurs;Nb Foyers;Score Priorité;Temps Estimé;Équipe Suggérée
RUE DES AGATES (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;70;32;37,22;32 min;2 personnes
RUE DU QUARTZ [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;32;13;37,11;13 min;1 personne
RUE DU HUIT MAI 1945 [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;46;22;37,00;22 min;1 personne
BOULEVARD BLAISE PASCAL (85100);4;ECOLE MATERNELLE CLEMENCEAU;64;33;36,97;33 min;2 personnes
RUE DES MOINEAUX [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;25;11;36,93;11 min;1 personne
AVENUE FRANCOIS MITTERRAND [OLONNE SUR MER] (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;100;60;36,83;1h00;2 personnes
CHEMIN DE LA GILLERIE [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;29;12;36,77;12 min;1 personne
IMPASSE DE LA TOURNIERE [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;16;7;36,62;7 min;1 personne
RUE DU RALLYE [CHATEAU D'OLONNE] (85180);35;SALLE AUDUBON N°2;19;9;36,60;9 min;1 personne
IMPASSE DE LA PILNIERE (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;36;18;36,60;18 min;1 personne
RUE DU DR SCHWEITZER (85100);3;CONSERVATOIRE MARIN MARAIS;93;48;36,55;48 min;2 personnes
RUE PREUX MERLAND (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;18;9;36,49;9 min;1 personne
RUE EUGENE GUERINEAU (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;31;15;36,46;15 min;1 personne
RUE DU PONT [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;29;14;36,45;14 min;1 personne
RUE DE LA CHENAIE [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;14;7;36,41;7 min;1 personne
RUE DE LA PERRIERE [OLONNE SUR MER] (85340);30;OLONNESPACE;10;5;36,40;5 min;1 personne
RUE GÉNÉRAL CHARETTE [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;22;10;36,35;10 min;1 personne
ALLEE DES TERRES BASSES (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;18;7;36,34;7 min;1 personne
RUE DU BOIS [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;23;12;36,29;12 min;1 personne
IMPASSE FREDERIC MISTRAL [CHATEAU D'OLONNE] (85180);20;COLONIE KER-NETRA;10;5;36,28;5 min;1 personne
