code du bureau de vote;libellé du bureau de vote;1. Jeunes (18-25 ans);2A. Jeunes actifs natifs (26-35 ans);2B. Jeunes actifs nouveaux arrivants (26-35 ans);3. Familles actives (36-50 ans);4A. Seniors actifs natifs (51-65 ans);4B. Seniors actifs non natifs (51-65 ans);5. Retraités (66+ ans);Indéterminé
1;HOTEL DE VILLE;73.0;28.0;70.0;132.0;67.0;183.0;598.0;0.0
2;AUDITORIUM SAINT-MICHEL;118.0;36.0;59.0;155.0;86.0;204.0;546.0;0.0
3;CONSERVATOIRE MARIN MARAIS;91.0;46.0;63.0;164.0;75.0;193.0;579.0;0.0
4;ECOLE MATERNELLE CLEMENCEAU;53.0;34.0;59.0;133.0;77.0;176.0;717.0;0.0
5;CENTRE DE LOISIRS DE L'ARMANDECHE N°1;64.0;27.0;29.0;128.0;86.0;216.0;745.0;0.0
6;SALLE DES FETES DE LA CHAUME N°1;47.0;38.0;43.0;126.0;84.0;166.0;693.0;0.0
7;SALLE AUDUBON N°1;62.0;29.0;34.0;130.0;54.0;150.0;493.0;0.0
8;ECOLE MATERNELLE DES JARDINS;43.0;28.0;55.0;122.0;66.0;161.0;726.0;0.0
9;OFFICE DU TOURISME DE LA GARE ;82.0;33.0;51.0;145.0;73.0;154.0;571.0;0.0
10;HOTEL DE VILLE N°2;65.0;28.0;54.0;127.0;48.0;126.0;887.0;0.0
11;CENTRE DE LOISIRS DE L'ARMANDECHE N°2;60.0;55.0;38.0;135.0;108.0;155.0;736.0;0.0
12;SALLE DES FETES DE LA CHAUME N°2;73.0;35.0;52.0;129.0;68.0;160.0;632.0;0.0
13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;76.0;47.0;30.0;117.0;86.0;119.0;433.0;0.0
14;SALLE CALIXTE-AIME PLISSONNEAU N°1;87.0;52.0;32.0;166.0;121.0;145.0;439.0;0.0
15;GALERIE DES RIAUX;96.0;64.0;49.0;156.0;102.0;184.0;662.0;0.0
16;ECOLE PRIMAIRE DES NOUETTES;91.0;61.0;60.0;137.0;88.0;166.0;532.0;1.0
17;CENTRE DE LOISIRS DES PLESSES;66.0;47.0;43.0;105.0;61.0;124.0;590.0;0.0
18;ECOLE MATERNELLE DE LA PIRONNIERE;79.0;38.0;33.0;163.0;85.0;171.0;807.0;0.0
19;ECOLE PRIMAIRE DE LA PIRONNIERE;112.0;69.0;82.0;248.0;120.0;215.0;600.0;0.0
20;COLONIE KER-NETRA;83.0;43.0;54.0;174.0;62.0;187.0;674.0;0.0
21;LA MAISON DES SPORTS;84.0;48.0;54.0;193.0;104.0;153.0;421.0;1.0
22;SALLE CALIXTE-AIME PLISSONNEAU N°2;174.0;76.0;44.0;222.0;96.0;158.0;339.0;0.0
23;COMPLEXE SPORTIF D'OLONNE SUR MER;137.0;72.0;36.0;213.0;112.0;153.0;394.0;0.0
24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;115.0;66.0;89.0;202.0;97.0;144.0;381.0;0.0
25;MAIRIE ANNEXE D'OLONNE SUR MER ;101.0;77.0;54.0;146.0;123.0;186.0;546.0;0.0
26;LYCEE ERIC TABARLY;103.0;64.0;42.0;182.0;124.0;137.0;422.0;0.0
27; GYMNASE DES CHIRONS;91.0;38.0;40.0;151.0;96.0;154.0;593.0;0.0
28;GROUPE SCOLAIRE R.G.CADOU N°1;110.0;67.0;56.0;163.0;102.0;200.0;569.0;0.0
29;GROUPE SCOLAIRE R.G.CADOU N°2;175.0;69.0;87.0;228.0;116.0;223.0;561.0;0.0
30;OLONNESPACE;128.0;64.0;75.0;215.0;111.0;192.0;452.0;0.0
31;LE STELLA;136.0;79.0;49.0;219.0;138.0;186.0;552.0;0.0
32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;110.0;51.0;50.0;234.0;120.0;174.0;328.0;0.0
33;COLONIE DE SAUVETERRE;130.0;85.0;54.0;272.0;167.0;231.0;418.0;0.0
34;CENTRE JEAN DE LA FONTAINE ;96.0;49.0;46.0;163.0;97.0;164.0;424.0;0.0
35;SALLE AUDUBON N°2;58.0;29.0;59.0;150.0;66.0;135.0;680.0;0.0
36;ECOLE PRIMAIRE RENE MILLET ;87.0;59.0;71.0;144.0;97.0;168.0;458.0;0.0
