Code Bureau;Libellé Bureau;Score Global;Nb Foyers Familles;Nb Total Foyers;% Foyers Familles;Âge Moyen;Âge Médian;Nb Natifs Vendée;% Natifs Vendée;Nb Électeurs
22;SALLE CALIXTE-AIME PLISSONNEAU N°2;64,04;364;642;56,7;51,49;52.0;514;46,35;1109
32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;63,81;354;603;58,71;53,56;56.0;480;44,99;1067
31;LE STELLA;62,87;438;795;55,09;56,25;61.0;671;49,37;1359
26;LYCEE ERIC TABARLY;61,94;338;629;53,74;56,03;60.0;514;47,86;1074
14;SALLE CALIXTE-AIME PLISSONNEAU N°1;60,42;328;618;53,07;58,05;62.0;476;45,68;1042
13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;60,29;299;536;55,78;59,14;64.0;388;42,73;908
21;LA MAISON DES SPORTS;60,17;325;637;51,02;57,64;59.0;499;47,16;1057
11;CENTRE DE LOISIRS DE L'ARMANDECHE N°2;60,13;419;726;57,71;63,58;69.0;567;44,06;1287
33;COLONIE DE SAUVETERRE;60,13;406;815;49,82;54,17;56.0;613;45,17;1357
34;CENTRE JEAN DE LA FONTAINE ;59,9;334;606;55,12;56,95;60.0;417;40,13;1039
23;COMPLEXE SPORTIF D'OLONNE SUR MER;59,15;327;673;48,59;54,4;56.0;489;43,78;1117
19;ECOLE PRIMAIRE DE LA PIRONNIERE;58,62;452;855;52,87;57,17;61.0;565;39,07;1446
25;MAIRIE ANNEXE D'OLONNE SUR MER ;57,43;369;753;49;58,66;63.0;515;41,77;1233
15;GALERIE DES RIAUX;57,06;406;797;50,94;60,87;66.0;527;40,14;1313
36;ECOLE PRIMAIRE RENE MILLET ;56,47;309;685;45,11;57,91;61.0;466;42,99;1084
24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;56,12;292;674;43,32;53,81;55.0;439;40,13;1094
27; GYMNASE DES CHIRONS;56,09;352;721;48,82;60,94;66.0;463;39,81;1163
29;GROUPE SCOLAIRE R.G.CADOU N°2;55,15;404;931;43,39;54,99;57.0;554;37,97;1459
30;OLONNESPACE;54,79;337;803;41,97;55,21;58.0;481;38,88;1237
18;ECOLE MATERNELLE DE LA PIRONNIERE;54,19;427;867;49,25;63,72;69.0;491;35,68;1376
7;SALLE AUDUBON N°1;53,89;272;529;51,42;62,29;67.0;289;30,36;952
12;SALLE DES FETES DE LA CHAUME N°2;53,32;308;663;46,46;63,07;67.0;412;35,86;1149
3;CONSERVATOIRE MARIN MARAIS;52,46;320;717;44,63;60,16;64.0;394;32,54;1211
16;ECOLE PRIMAIRE DES NOUETTES;52,44;300;771;38,91;59,43;64.0;447;39,35;1135
5;CENTRE DE LOISIRS DE L'ARMANDECHE N°1;52,18;381;791;48,17;64,81;69.0;408;31,51;1295
1;HOTEL DE VILLE;52,16;299;686;43,59;62,07;67.0;401;34,84;1151
20;COLONIE KER-NETRA;51,93;379;819;46,28;61,91;67.0;387;30,31;1277
28;GROUPE SCOLAIRE R.G.CADOU N°1;51,49;308;852;36,15;59,65;63.0;508;40,09;1267
9;OFFICE DU TOURISME DE LA GARE ;51,4;284;700;40,57;61,55;67.0;397;35,8;1109
2;AUDITORIUM SAINT-MICHEL;51,4;292;745;39,19;59,31;63.0;426;35,38;1204
4;ECOLE MATERNELLE CLEMENCEAU;51,19;342;749;45,66;64,87;69.0;395;31,63;1249
6;SALLE DES FETES DE LA CHAUME N°1;50,23;303;754;40,19;64,41;69.0;422;35,25;1197
8;ECOLE MATERNELLE DES JARDINS;50,13;293;695;42,16;65,67;71.0;403;33,56;1201
17;CENTRE DE LOISIRS DES PLESSES;50,11;276;680;40,59;63,59;69.0;347;33,49;1036
35;SALLE AUDUBON N°2;49,27;302;739;40,87;64,25;70.0;365;31,01;1177
10;HOTEL DE VILLE N°2;43,2;258;845;30,53;67,36;73.0;369;27,64;1335
