Rue;Code Bureau;Bureau de Vote;Score Priorité;Nb Électeurs;Nb Foyers;Électeurs/Foyer;Âge Moyen;% Natifs Vendée;% Hommes
RUE DES AGATES (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;37,22;70;32;2,19;50,27;57,14;45,71
RUE DU QUARTZ [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;37,11;32;13;2,46;44,44;34,38;43,75
RUE DU HUIT MAI 1945 [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;37,00;46;22;2,09;42,20;26,09;34,78
BOULEVARD BLAISE PASCAL (85100);4;ECOLE MATERNELLE CLEMENCEAU;36,97;64;33;1,94;49,09;25,00;50,00
RUE DES MOINEAUX [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;36,93;25;11;2,27;44,76;20,00;52,00
AVENUE FRANCOIS MITTERRAND [OLONNE SUR MER] (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;36,83;100;60;1,67;48,90;36,00;50,00
CHEMIN DE LA GILLERIE [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;36,77;29;12;2,42;46,31;10,34;51,72
IMPASSE DE LA TOURNIERE [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;36,62;16;7;2,29;45,06;6,25;43,75
RUE DU RALLYE [CHATEAU D'OLONNE] (85180);35;SALLE AUDUBON N°2;36,60;19;9;2,11;44,47;36,84;52,63
IMPASSE DE LA PILNIERE (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;36,60;36;18;2,00;47,81;41,67;47,22
RUE DU DR SCHWEITZER (85100);3;CONSERVATOIRE MARIN MARAIS;36,55;93;48;1,94;54,32;26,88;44,09
RUE PREUX MERLAND (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;36,49;18;9;2,00;44,22;61,11;38,89
RUE EUGENE GUERINEAU (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;36,46;31;15;2,07;42,39;70,97;41,94
RUE DU PONT [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;36,45;29;14;2,07;42,62;37,93;55,17
RUE DE LA CHENAIE [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;36,41;14;7;2,00;45,50;50,00;64,29
RUE DE LA PERRIERE [OLONNE SUR MER] (85340);30;OLONNESPACE;36,40;10;5;2,00;45,00;30,00;40,00
RUE GÉNÉRAL CHARETTE [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;36,35;22;10;2,20;46,77;31,82;54,55
ALLEE DES TERRES BASSES (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;36,34;18;7;2,57;46,28;77,78;61,11
RUE DU BOIS [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;36,29;23;12;1,92;45,43;30,43;52,17
IMPASSE FREDERIC MISTRAL [CHATEAU D'OLONNE] (85180);20;COLONIE KER-NETRA;36,28;10;5;2,00;45,40;10,00;40,00
IMPASSE DE LA CHARRUE (85340);34;CENTRE JEAN DE LA FONTAINE ;36,25;12;5;2,40;45,75;33,33;41,67
RUE DE LA BELLE OLONNAISE [OLONNE SUR MER] (85340);26;LYCEE ERIC TABARLY;36,18;55;33;1,67;44,93;34,55;49,09
RUE DE LA TOUR (85100);1;HOTEL DE VILLE;36,13;12;6;2,00;46,17;41,67;50,00
RUE EDITH PIAF [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;36,13;10;5;2,00;45,90;40,00;60,00
ROUTE DES MARAICHERS [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;36,07;53;31;1,71;46,04;39,62;41,51
RUE DES AJONCS [OLONNE SUR MER] (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;36,02;18;9;2,00;47,33;50,00;27,78
RUE DES BOILARDRIES (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;35,99;70;30;2,33;54,36;44,29;50,00
RUE ANATOLE FRANCE (85100);2;AUDITORIUM SAINT-MICHEL;35,95;37;18;2,06;50,11;21,62;35,14
ROUTE DES AIRES (85340);33;COLONIE DE SAUVETERRE;35,94;86;42;2,05;56,65;65,12;48,84
RUE DES HERONS (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;35,89;11;4;2,75;43,18;72,73;54,55
RUE DES ROSIERS [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;35,89;30;14;2,14;40,63;30,00;53,33
RUE PAUL BERT [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;35,81;23;10;2,30;48,70;26,09;52,17
AVENUE DE TALMONT [CHATEAU D'OLONNE] (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;35,80;68;43;1,58;43,63;44,12;48,53
RUE SERAPHIN BUTON [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;35,79;67;42;1,60;46,52;23,88;43,28
RUE DU MICA [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;35,74;13;6;2,17;47,62;7,69;53,85
RUE MARECHAL JOFFRE [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;35,71;63;41;1,54;44,90;44,44;41,27
RUE LINO VENTURA [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,69;21;11;1,91;47,00;52,38;57,14
RUE DE LA POITEVINIERE [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;35,69;18;9;2,00;48,44;44,44;55,56
RUE DE BEAUMONT [CHATEAU D'OLONNE] (85180);21;LA MAISON DES SPORTS;35,68;49;29;1,69;46,39;38,78;48,98
RUE DU CHEMIN CREUX [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;35,68;10;5;2,00;42,60;20,00;40,00
IMPASSE DES CASTELONNES [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,67;13;6;2,17;42,15;23,08;61,54
RUE DES PIVERTS [OLONNE SUR MER] (85340);31;LE STELLA;35,67;16;7;2,29;41,75;56,25;43,75
IMPASSE TINO ROSSI [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;35,66;14;7;2,00;48,00;21,43;57,14
RUE HENRI COLINS (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,62;17;8;2,13;48,53;35,29;41,18
IMPASSE DE LA FONTAINE AUX HOMMES [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;35,58;12;6;2,00;42,00;41,67;50,00
RUE DES PRES DE LA CLAIS [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,51;52;29;1,79;40,58;36,54;44,23
ROUTE DES PINS [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;35,51;66;42;1,57;46,86;42,42;54,55
IMPASSE DES NOYERS [OLONNE SUR MER] (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;35,48;13;6;2,17;41,54;46,15;61,54
CHEMIN DES BARRES [OLONNE SUR MER] (85340);33;COLONIE DE SAUVETERRE;35,47;69;44;1,57;42,68;39,13;52,17
RUE DES HIRONDELLES [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;35,47;28;16;1,75;44,50;32,14;60,71
RUE SIMONE VEIL [CHATEAU D'OLONNE] (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;35,47;110;69;1,59;52,00;30,91;42,73
IMPASSE DES PETRELS [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;35,42;15;7;2,14;48,93;13,33;53,33
RUE ANNIE GIRARDOT [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,37;30;16;1,88;41,40;50,00;40,00
RUE DES GRANDS TERRAGES (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;35,37;63;34;1,85;52,57;34,92;41,27
RUE VICTOR HUGO [OLONNE SUR MER] (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;35,35;21;11;1,91;48,14;42,86;57,14
RUE DES CORDELIERS [OLONNE SUR MER] (85340);24;COMPLEXE CULTUREL DU HAVRE D'OLONNE;35,35;10;4;2,50;48,50;10,00;50,00
RUE DE LA CANARDE (85340);31;LE STELLA;35,34;79;38;2,08;57,72;62,03;56,96
IMPASSE DES HIBOUX [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;35,33;11;6;1,83;45,36;45,45;36,36
RUE DES MONARQUES [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;35,33;37;22;1,68;44,19;32,43;40,54
RUE DES FORGERONS [OLONNE SUR MER] (85340);32;MAIRIE ANNEXE D'OLONNE SUR MER N°2;35,32;11;4;2,75;41,27;9,09;54,55
RUE SIMONE SIGNORET [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,31;15;8;1,88;43,20;66,67;46,67
RUE MARIE LAURENCIN [CHATEAU D'OLONNE] (85180);15;GALERIE DES RIAUX;35,29;25;13;1,92;40,84;44,00;52,00
RUE DU PETIT PARIS (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;35,29;118;58;2,03;60,71;48,31;46,61
RUE DES GRIVES [OLONNE SUR MER] (85340);31;LE STELLA;35,27;28;15;1,87;41,50;39,29;57,14
RUE DES VENUS [OLONNE SUR MER] (85340);30;OLONNESPACE;35,27;21;12;1,75;44,76;28,57;42,86
RUE JOSEPH PELLETIER (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;35,26;52;24;2,17;54,38;59,62;55,77
RUE DE LA PIRONNIERE [CHATEAU D'OLONNE] (85180);20;COLONIE KER-NETRA;35,21;44;24;1,83;50,16;11,36;47,73
IMPASSE RENE DESCARTES [CHATEAU D'OLONNE] (85180);13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;35,21;20;10;2,00;50,30;55,00;60,00
AVENUE FRANCOIS MITTERRAND [OLONNE SUR MER] (85340);27; GYMNASE DES CHIRONS;35,19;51;32;1,59;43,63;39,22;50,98
RUE EMILE LANSIER (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;35,19;22;10;2,20;50,64;54,55;40,91
IMPASSE RENOLEAU (85100);3;CONSERVATOIRE MARIN MARAIS;35,18;43;21;2,05;53,47;34,88;48,84
RUE FREDERIC PASSY [OLONNE SUR MER] (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;35,18;16;9;1,78;44,56;37,50;37,50
RUE DES MIRABELLIERS [OLONNE SUR MER] (85340);30;OLONNESPACE;35,12;15;6;2,50;49,93;13,33;46,67
RUE DES PRES DE LA CLAIS (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,10;33;20;1,65;44,61;54,55;42,42
ALLEE DES ERABLES [OLONNE SUR MER] (85340);30;OLONNESPACE;35,03;20;11;1,82;47,25;35,00;50,00
QUAI ROUSSEAU MECHIN (85100);6;SALLE DES FETES DE LA CHAUME N°1;35,02;11;5;2,20;49,73;18,18;54,55
IMPASSE EDWIGE FEUILLERE [CHATEAU D'OLONNE] (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;35,02;18;9;2,00;39,33;55,56;33,33
RUE DU PACAGE [OLONNE SUR MER] (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;35,01;22;11;2,00;38,77;22,73;40,91
AVENUE DE TALMONT (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;35,00;110;59;1,86;58,96;53,64;44,55
ROUTE ALEXANDRE SOLJENITSYNE (85340);26;LYCEE ERIC TABARLY;34,97;58;27;2,15;56,17;48,28;51,72
RUE DES CITRINES (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;34,95;19;11;1,73;45,58;63,16;52,63
RUE DU PONT (85340);33;COLONIE DE SAUVETERRE;34,93;39;21;1,86;50,90;51,28;58,97
RUE DU GYPSE [OLONNE SUR MER] (85340);23;COMPLEXE SPORTIF D'OLONNE SUR MER;34,93;14;8;1,75;45,43;50,00;35,71
